ID	Count	Types	Full text	Languages	MIME types
08615_Narodni_filmovy_archiv	2025	"IMAGE";"TEXT";"VIDEO";	"false";"true";	"mul";	"image/jpeg";"video/mp4";"text/html";
08617_EFG_Deutsche_Kinemathek	356	"IMAGE";"VIDEO";"TEXT";	"false";"true";	"mul";	"text/html";"video/mp4";
08618_Ag_EU_EFG_Estonian_Filmarchives	2348	"IMAGE";"VIDEO";	"false";	"et";	"image/jpeg";"image/png";
08619_Ag_EU_EFG_Fondazione_Cineteca	73	"VIDEO";	"false";"true";	"mul";	"text/html";
08620_EFG_Jugoslovenska_Kinoteka	67	"VIDEO";	"true";	"mul";	"text/html";
08621_EFG_Osterreichisches_Filmmuseum	351	"VIDEO";	"false";	"mul";	
08622_EFG_Imperial_War_Museums	1261	"VIDEO";	"false";	"en";	
08623_EFG_Cinematheque_Royale_Belgique	233	"VIDEO";	"true";"false";	"mul";	"text/html";
08624_EFG_IVAC	9	"VIDEO";"TEXT";	"false";	"mul";	
08625_EFG_FilmotecaEspanola	53	"VIDEO";	"false";	"mul";	
08626_EFG_Bundesarchiv	165	"VIDEO";	"false";	"mul";	"video/mp4";
08627_EFG_CNC	141	"VIDEO";	"false";	"mul";	
08629_EFG_National_Library_of_Scotland	2720	"VIDEO";	"false";	"en";	
08630_EFG_Arhiva_Nationala_de_Filme	18	"VIDEO";	"false";	"mul";	
08631_EFG_La_Cineteca_del_Friuli	32	"VIDEO";	"true";	"mul";	"text/html";
08632_EFG_Museo_Nazionale_del_Cinema	210	"VIDEO";	"true";"false";	"mul";	"text/html";
08633_EFG_Landesfilmsammlung_BW	20	"VIDEO";	"false";	"mul";	
08634_EFG_CinetecaNazionale	9	"VIDEO";	"true";	"mul";	"text/html";
08635_EFG_LCVA	422	"VIDEO";	"false";	"mul";	
08636_Ag_EU_EFG_SFI	612	"TEXT";"VIDEO";	"false";"true";	"mul";	"application/pdf";"text/html";"image/jpeg";
08637_EFG_KNM	16	"VIDEO";	"false";	"mul";	"video/mp4";"application/xml";
08638_Ag_EU_EFG_CK	1	"VIDEO";	"false";	"mul";	
08641_EFG_FDC	208	"VIDEO";	"false";"true";	"ca";	"text/html";
08711_Ag_EU_BHL_usa	294893	"TEXT";	"false";"true";	"en";	"image/jpeg";"application/pdf";
08803_Ag_EU_ETravel_DebMaps	186	"IMAGE";	"false";	"hu";	
08804_Ag_EU_ETravel_DebBooks	68	"TEXT";	"false";	"hu";	
08805_Ag_EU_ETravel_Moravska	487	"IMAGE";	"false";"true";	"cs";	"text/html";
08806_Ag_EU_ETravel_NLW	577	"IMAGE";	"false";	"en";	"image/jpeg";"text/plain";
08807_Ag_EU_ETravel_LundUniversity	3101	"IMAGE";	"false";	"sv";	
08808_Ag_EU_ETravel_TCD	725	"IMAGE";"TEXT";	"true";"false";	"en";	
08809_Ag_EU_ETravel_UCL	1240	"IMAGE";"TEXT";	"false";	"en";	
08904_Ag_AT_EuropeanaConnect_UBER	677	"TEXT";	"false";	"de";	
09102_Ag_EU_MIMO	63477	"IMAGE";	"false";"true";	"mul";	"image/jpeg";"text/html";"audio/mpeg";"video/mpeg";"video/quicktime";"video/mp4";"image/png";
09302_Ag_EU_JHN_Medem	161	"TEXT";"SOUND";"IMAGE";	"false";	"mul";	"application/pdf";"image/jpeg";"image/tiff";
09306_Ag_EU_Judaica_cfmj1	14045	"SOUND";	"false";	"mul";	
09308_Ag_EU_JHN_LeoBaeckInstitute_Periodicals	208	"TEXT";	"false";	"mul";	"image/jpeg";
09309_Ag_EU_Judaica_fra3	377	"TEXT";	"false";	"de";	
09310_Ag_EU_JHN_LeoBaeckInstitute_Sound	97	"SOUND";"TEXT";"IMAGE";	"false";	"mul";	
09311_Ag_EU_JHN_AllianceIsraelite_part2	2148	"TEXT";"IMAGE";	"true";"false";	"mul";	"application/pdf";"image/jpeg";"text/html";
09312_Ag_EU_Judaica_akadem1	1849	"VIDEO";	"false";	"mul";	
09313_Ag_EU_JHN_AJHS_text	3668	"TEXT";"IMAGE";	"false";	"mul";	"image/tiff";
09314_Ag_EU_Judaica_Jewish_Museum_Greece	26206	"IMAGE";	"false";	"mul";	
